id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50026554,Hermoso depa con areas verdes. Cerca de Polanco,59785809,Andreina,,Miguel Hidalgo,19.452246,-99.215576,Entire home/apt,1211,3,1,2021-11-28,0.08,1,211,0,
50153860,"Bonito departamento, amplio y acogedor",364247303,Rolando,,Miguel Hidalgo,19.45265,-99.18496,Entire home/apt,764,1,26,2022-12-25,1.36,1,365,21,
50154238,Cozy private double room Roma Norte Great Location,404529654,Mauricio,,Cuauhtémoc,19.41963,-99.16922,Shared room,3812,1,96,2022-12-01,5.07,4,357,39,
49923652,POLANCO Green&Gold perfect location w/balcony 3BR,459963686,Fernanda,,Miguel Hidalgo,19.43318,-99.1839,Entire home/apt,4665,2,38,2022-11-19,1.99,14,340,27,
49924800,POLANCO Habitación independiente/ trasera,459963686,Fernanda,,Miguel Hidalgo,19.43339,-99.18155,Entire home/apt,771,4,15,2022-11-27,0.78,14,335,8,
50028285,Habitación int. Indep c/baño 1p 250m metro copilco,187708296,Josefina,,Coyoacán,19.33691,-99.17336,Entire home/apt,265,3,9,2022-11-27,0.71,5,89,8,
50030327,CDMX T3 Luxe 3BR flat in La Condesa,8905097,LocalappleCo,,Cuauhtémoc,19.41331,-99.17278,Entire home/apt,3493,1,25,2022-11-22,1.40,13,341,13,
49925278,"Gran Ubicacion Cerca de SANTAFE, KINGSIZE BED",37036293,Gabriel,,Cuajimalpa de Morelos,19.38114,-99.2549,Entire home/apt,661,1,29,2022-12-21,1.53,32,335,18,
50154321,Cozy private room in Colonia Roma Whit Balcony,404529654,Mauricio,,Cuauhtémoc,19.42121,-99.17113,Private room,2624,1,48,2022-11-22,2.56,4,358,27,
50031006,Lujosa y Amplia casa en el corazón de Roma Norte,122695820,Adrian,,Cuauhtémoc,19.4137,-99.1631,Entire home/apt,4310,2,41,2022-12-02,2.17,5,40,23,
49925400,"GRAN UBICACIÓN, en la zona de SANTA FE, KING BED",37036293,Gabriel,,Cuajimalpa de Morelos,19.38106,-99.25563,Entire home/apt,672,1,57,2022-12-18,2.95,32,332,35,
49925580,"Muy cerca de Polanco, Antara y Plaza Carso!!-2",4362310,Aarón,,Miguel Hidalgo,19.442427,-99.196083,Entire home/apt,735,3,5,2022-11-21,0.28,27,337,2,
50032859,2 br cozy and stylish apartment at Roma CDMX,12774111,Carlo,,Cuauhtémoc,19.41256,-99.16218,Entire home/apt,1513,3,33,2022-12-12,1.71,2,254,17,
50032906,The Nebula: right in the hottest part of the city.,52745634,Carlos,,Cuauhtémoc,19.42293,-99.16571,Entire home/apt,3882,2,2,2022-10-28,0.10,1,177,1,
50154973,Departamento céntrico cerca del WTC (306),349105138,Santiago,,Benito Juárez,19.38225,-99.18842,Entire home/apt,850,4,19,2022-10-17,1.02,1,360,6,
50036562,Spacious and sunny room in Polanco,13790295,Jianpeng,,Miguel Hidalgo,19.44336,-99.20297,Private room,1067,3,5,2021-11-26,0.26,1,179,0,
50156490,Best Neighborhood Apt w/AC | Rooftop+Gym+Security,375454819,Uliv,,Cuauhtémoc,19.419437,-99.162529,Entire home/apt,2872,1,579,2022-12-18,30.16,16,362,334,
50156502,Exquisite Apt w/AC+2 Futons | Gym+Cool Rooftop,375454819,Uliv,,Cuauhtémoc,19.419437,-99.162529,Entire home/apt,2554,1,231,2022-11-29,12.05,16,363,137,
50156520,Fresh Apt w/Balcony & AC | Gym 24/7+Cozy Rooftop,375454819,Uliv,,Cuauhtémoc,19.419437,-99.162529,Entire home/apt,3363,1,315,2022-12-21,16.41,16,359,204,
50156529,Modern 2 Jr Suites|Gym+Cool Rooftop+Security 24/7,375454819,Uliv,,Cuauhtémoc,19.419437,-99.162529,Entire home/apt,6461,1,40,2022-11-22,2.09,16,361,37,
50156545,Double Suites w/AC |Gym+Cool Rooftop+24/7 Security,375454819,Uliv,,Cuauhtémoc,19.419437,-99.162529,Entire home/apt,6697,1,23,2022-08-11,1.20,16,350,9,
50157409,Elegante departamento condesa - Chapultepec,333068107,Albert,,Miguel Hidalgo,19.40814,-99.18972,Entire home/apt,2029,2,51,2022-11-29,2.85,4,260,39,
50157839,Hermoso y acogedor loft en el corazón de la ciudad,88365870,Anya,,Cuauhtémoc,19.42851,-99.15137,Entire home/apt,1359,1,18,2022-12-11,1.26,24,66,12,
49928551,"Lindo departamento, excelente Zona.",166203796,William,,Cuauhtémoc,19.4186,-99.15035,Private room,467,2,25,2022-11-19,1.30,1,80,11,
